,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SORENNE WEBSITE PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAIN GRID ORDER,,,,,MAIN GRID DESCRIPTION,,TAGS,,,MAIN GRID IMAGE / GIF,,,,,,,PROJECT PAGE HERO TITLE,,,,,,,PROJECT PAGE HERO COPY,,,,,,PROJECT PAGE BKGRND COLOR,,,,,,,TEXT COLOR
,,,PROJECT TITLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,poppi,,,,,FILM  ,,,,,,,,,,MAKE IT POPPI,,,,,,,"While other good-for-you sodas talk about health benefits, poppi knows the real reason you drink soda: VIBES. So for Super Bowl LX we launched a new platform for the brand by turning the vibes Wayyyyy up. 

We took a physics lecture from zero to poppi with the ultimate vibe setter herself, Charli XCX. In the middle of promoting her new A24 film, Charli rips through the space vibe continuum with Rachel Sennott to throw an absurd, poppi-fueled rave.",,,,,,#FFFFFF,,,,,,,#000000
,,,,,,It's just a vibes thing. Super Bowl LX. ,,SOCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CONTENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,Lumē,,,,,FILM  ,,,,,,,,,,ODOR FREE YOURSELF,,,,,,,"There are over 300,000 five star reviews singing the praises of Lume’s life-changing odor protection. So we took those real reviews and turned them into animated music videos in a social-first launch of a new platform. All based around the confidence you have when you smell great.",,,,,,#DDE1E4,,,,,,,#FE5000   #000000
,,,,,,"A Social-First Launch for Odor Free Yourself, the new platform for a women's deodorant.",,SOCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ANIMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,Thinx,,,,,FILM  ,,,,,,,,,,THINX 12 HR,,,,,,,We needed to launch Thinx's innovative new 12-hour period underwear. A unique product with a unique story to tell. No pads. No leaks. Twelve hours to free bleed. So we partnered with comedians Natasha Leggero and X Mayo for a half-day road trip to show the product really put to the test. We dropped a short film plus entertaining clips across cobranded social channels. Who knew periods could be so bloody entertaining?,,,,,,#E8D5DC,,,,,,,#000000
,,,,,,"A series of social films 
putting  a new product to the test. ",,WELLNESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CONTENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
